unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1641081600000.0,2022-01-02 00:00:00,BTC/USDT,47728.0,47759.0,47390.0,47427.0,48.227380658696525,2287279.9825
1641078000000.0,2022-01-01 23:00:00,BTC/USDT,47442.0,47832.0,47284.0,47728.0,68.32442864565873,3260988.3304
1641074400000.0,2022-01-01 22:00:00,BTC/USDT,47322.0,47488.0,47231.0,47442.0,33.298980462459426,1579770.2311
1641070800000.0,2022-01-01 21:00:00,BTC/USDT,47399.0,47545.0,47271.0,47322.0,45.12141128650522,2135235.4249
1641067200000.0,2022-01-01 20:00:00,BTC/USDT,47332.0,47559.0,47255.0,47399.0,43.241008341948145,2049580.5544
1641063600000.0,2022-01-01 19:00:00,BTC/USDT,47568.0,47622.0,47291.0,47332.0,45.71386984703795,2163728.8876
1641060000000.0,2022-01-01 18:00:00,BTC/USDT,47762.0,47841.0,47431.0,47568.0,73.9629034308779,3518267.3904
1641056400000.0,2022-01-01 17:00:00,BTC/USDT,47275.0,47952.0,47246.0,47762.0,104.27002965746827,4980145.1565
1641052800000.0,2022-01-01 16:00:00,BTC/USDT,47218.0,47521.0,47184.0,47275.0,93.80509139714437,4434635.6958
1641049200000.0,2022-01-01 15:00:00,BTC/USDT,46921.0,47489.0,46881.0,47218.0,93.53910601253759,4416729.5077
1641045600000.0,2022-01-01 14:00:00,BTC/USDT,47018.0,47109.0,46852.0,46921.0,37.47824759915603,1758516.8556
1641042000000.0,2022-01-01 13:00:00,BTC/USDT,47079.0,47204.0,46941.0,47018.0,27.752092317835725,1304847.8766
1641038400000.0,2022-01-01 12:00:00,BTC/USDT,46762.0,47151.0,46762.0,47077.0,61.937504628587206,2915831.9054
1641034800000.0,2022-01-01 11:00:00,BTC/USDT,46882.0,47006.0,46756.0,46762.0,43.12981581839956,2016836.4473
1641031200000.0,2022-01-01 10:00:00,BTC/USDT,47144.0,47296.0,46726.0,46875.0,107.84792155093334,5055371.3227
1641027600000.0,2022-01-01 09:00:00,BTC/USDT,47128.0,47209.0,46940.0,47144.0,45.10727500636348,2126537.3729
1641024000000.0,2022-01-01 08:00:00,BTC/USDT,47201.0,47343.0,47080.0,47128.0,58.40424829400781,2752475.4136
1641020400000.0,2022-01-01 07:00:00,BTC/USDT,46987.0,47259.0,46902.0,47201.0,61.0284476854304,2880603.7592
1641016800000.0,2022-01-01 06:00:00,BTC/USDT,47200.0,47325.0,46949.0,46986.0,46.32774754820585,2176755.5463
1641013200000.0,2022-01-01 05:00:00,BTC/USDT,46706.0,47555.0,46677.0,47199.0,126.5229892561283,5971758.5699
1641009600000.0,2022-01-01 04:00:00,BTC/USDT,46803.0,46879.0,46624.0,46706.0,46.280712257525806,2161586.9467
1641006000000.0,2022-01-01 03:00:00,BTC/USDT,46810.0,46899.0,46760.0,46803.0,34.0174779501314,1592120.0205
1641002400000.0,2022-01-01 02:00:00,BTC/USDT,46783.0,46934.0,46725.0,46810.0,69.5965404379406,3257814.0579
1640998800000.0,2022-01-01 01:00:00,BTC/USDT,46659.0,46935.0,46579.0,46783.0,133.43804556783445,6242632.0858
1640995200000.0,2022-01-01 00:00:00,BTC/USDT,46204.0,46734.0,46196.0,46659.0,123.89106309822327,5780633.1131
1640991600000.0,2021-12-31 23:00:00,BTC/USDT,46307.0,46502.0,46141.0,46204.0,116.70263576530171,5392128.5829
1640988000000.0,2021-12-31 22:00:00,BTC/USDT,46336.0,46576.0,46241.0,46307.0,80.49912424039562,3727672.9462
1640984400000.0,2021-12-31 21:00:00,BTC/USDT,45885.0,46515.0,45781.0,46336.0,163.59402199154005,7580292.603
1640980800000.0,2021-12-31 20:00:00,BTC/USDT,45711.0,46205.0,45669.0,45887.0,101.6895520038355,4666228.4728
1640977200000.0,2021-12-31 19:00:00,BTC/USDT,46678.0,46678.0,45668.0,45711.0,198.11835016735577,9056187.9045
1640973600000.0,2021-12-31 18:00:00,BTC/USDT,47017.0,47029.0,46500.0,46678.0,76.39399878957967,3565919.0755
1640970000000.0,2021-12-31 17:00:00,BTC/USDT,47468.0,47551.0,46881.0,47017.0,114.47801365038177,5382412.7678
1640966400000.0,2021-12-31 16:00:00,BTC/USDT,48000.0,48117.0,47433.0,47481.0,101.6309476106232,4825539.0235
1640962800000.0,2021-12-31 15:00:00,BTC/USDT,47981.0,48116.0,47863.0,48001.0,31.651908314410115,1519323.251
1640959200000.0,2021-12-31 14:00:00,BTC/USDT,47943.0,48132.0,47839.0,47981.0,66.45486263729393,3188570.7642
1640955600000.0,2021-12-31 13:00:00,BTC/USDT,47981.0,48080.0,47880.0,47943.0,46.76546629747826,2242076.7507
1640952000000.0,2021-12-31 12:00:00,BTC/USDT,47981.0,48104.0,47826.0,47981.0,54.8040041745691,2629550.9243
1640948400000.0,2021-12-31 11:00:00,BTC/USDT,48034.0,48203.0,47915.0,47981.0,228.11366410870968,10945121.7176
1640944800000.0,2021-12-31 10:00:00,BTC/USDT,48294.0,48454.0,47905.0,48034.0,107.82520950993046,5179276.1136
1640941200000.0,2021-12-31 09:00:00,BTC/USDT,48444.0,48565.0,48239.0,48294.0,84.9353894458939,4101869.6979
1640937600000.0,2021-12-31 08:00:00,BTC/USDT,47189.0,48545.0,47074.0,48444.0,214.1028169639171,10371996.865
